Numero_pendiente,IdUsuario,Medicamento,Enfermedad,fecha_inicio,fecha_fin,periocidad_en_dias,nota
6874,1,Ibuprofeno,Mastitis,2024-03-06,2024-03-29,5,"Inicio leve, se observa mejoría con el tratamiento."
3732,1,Paracetamol,Gripe,2024-03-18,2024-03-28,8,"Inicio leve, se observa mejoría con el tratamiento."
8891,1,Ibuprofeno,Cólico,2024-01-21,2024-02-17,7,"Tratamiento en curso, seguir protocolo."
8891,1,Amoxicilina,Mastitis,2024-03-29,2024-04-21,6,
4468,1,Paracetamol,Mastitis,2024-03-19,2024-04-02,7,"Tratamiento en curso, seguir protocolo."
3599,1,Amoxicilina,Cólico,2024-02-12,2024-02-18,1,
8891,1,Ibuprofeno,Mastitis,2024-02-19,2024-03-15,8,"Inicio leve, se observa mejoría con el tratamiento."
6874,1,Paracetamol,Gripe,2024-02-19,2024-03-03,8,"La vaca muestra buen apetito, signo positivo."
5859,1,Amoxicilina,Gripe,2024-04-15,2024-04-28,2,Mantener en observación por posibles recaídas.
5373,1,Paracetamol,Gripe,2024-02-16,2024-03-11,1,Mantener en observación por posibles recaídas.
4468,1,Amoxicilina,Mastitis,2024-04-17,2024-04-29,3,Mantener en observación por posibles recaídas.
7744,1,Paracetamol,Cólico,2024-04-16,2024-05-09,7,
1705,1,Amoxicilina,Mastitis,2024-03-03,2024-03-25,7,
1705,1,Amoxicilina,Cólico,2024-02-06,2024-02-21,8,"Tratamiento en curso, seguir protocolo."
4264,1,Amoxicilina,Gripe,2024-02-01,2024-02-17,5,"Inicio leve, se observa mejoría con el tratamiento."
7744,1,Paracetamol,Gripe,2024-04-06,2024-04-12,4,"La vaca muestra buen apetito, signo positivo."
4468,1,Amoxicilina,Cólico,2024-04-20,2024-04-26,4,
4468,1,Amoxicilina,Mastitis,2024-04-15,2024-04-26,6,"Tratamiento en curso, seguir protocolo."
1705,1,Ibuprofeno,Mastitis,2024-03-07,2024-03-31,2,"Tratamiento en curso, seguir protocolo."
4264,1,Amoxicilina,Mastitis,2024-03-11,2024-03-22,1,"Inicio leve, se observa mejoría con el tratamiento."
